,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
28,DA,0.4095229388252399,0.8597719543908781,15.088505983352661,0.06558275638251823,-0.0178036279522894,0.0006177704648481366,-0.0017301531231369363,5,7
29,CEVAE,0.4674984743963893,0.8204805137601979,301.650470495224,0.1799013316631317,0.008246004581451416,-0.061456888914108276,0.02772912196815014,5,7
30,M3E2,0.9045020938996192,0.6884848484848485,92.28198146820068,0.511441171169281,0.6356281042098999,-0.04662763699889183,0.8316509127616882,5,7
31,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,7
32,DA,0.40922574293442504,0.8411881188118812,19.697280883789062,0.04474926364056377,0.015279980855590252,0.018899454007978503,0.0031126307908090523,6,0
33,CEVAE,0.485135270674046,0.8235217986108053,300.82423758506775,0.18047559261322021,0.09167952090501785,-0.07532411068677902,0.0004013080324511975,6,0
34,M3E2,0.976761107440662,0.6918181818181818,92.13104748725891,1.131507158279419,0.7065781354904175,-0.14955805242061615,0.3267405331134796,6,0
35,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,6,0
36,DA,0.4150155995728968,0.8429752066115703,17.9485502243042,0.05088597279489427,0.004811884701966588,-0.004350041786857827,0.007353948549152814,6,1
37,CEVAE,0.4917012109566446,0.8065719778181313,301.5990812778473,0.17451904714107513,0.04049776494503021,-0.09507381916046143,0.06405366212129593,6,1
38,M3E2,0.8980328739765998,0.6921212121212121,92.7471604347229,1.0327454805374146,0.6544305086135864,-0.0577298067510128,0.25456514954566956,6,1
39,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,6,1
40,DA,0.4079306673932111,0.8425615763546799,17.98108172416687,0.04235691403105764,-0.0014472151229186294,-0.00435422640100181,-0.006201806195012265,6,2
41,CEVAE,0.49295724659748036,0.8175702201288689,301.7532982826233,0.16662050783634186,0.09543706476688385,-0.06528209149837494,0.0518287718296051,6,2
42,M3E2,0.9772775109071251,0.6936363636363636,92.19070672988892,1.2051317691802979,0.6494429707527161,-0.24004554748535156,0.22182920575141907,6,2
43,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,6,2
