,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
22,M3E2,0.3437797623831745,0.7639393939393939,101.16513657569885,-0.7603857517242432,0.0996241644024849,-0.33629927039146423,0.10692081600427628,5,5
23,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,5
24,DA,0.40704425700739144,0.8058447488584474,243.57679152488708,0.05936800721475996,-0.013786343409851059,0.0014055107849895877,-0.008659675449069267,5,6
25,CEVAE,0.57359792644027,0.7889320292553695,244.07523894309998,0.16499483585357666,0.05453509837388992,-0.011355588212609291,,5,6
26,M3E2,0.9142654697556015,0.6984848484848485,93.04679274559021,1.0896811485290527,0.5733559727668762,-0.12994331121444702,0.2714208960533142,5,6
27,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,6
28,DA,0.4095358088092694,0.8124431508095324,225.6952886581421,0.051841102639983615,-0.008341551002741327,-0.0016189679928254052,0.00036416514829419665,5,7
29,CEVAE,0.4918116567335989,0.8024543722474284,296.50351214408875,0.20895031094551086,0.10392224788665771,-0.0762518048286438,-0.014538287185132504,5,7
30,M3E2,0.9038596871454235,0.6996969696969697,93.75904130935669,1.1543077230453491,0.4229097366333008,-0.10242314636707306,0.34313759207725525,5,7
31,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,7
32,DA,0.41010189106268063,0.8091188709969243,226.87654852867126,0.039366806333743835,-0.018107333575684236,-0.01615330083437914,0.010334240199568181,6,0
33,CEVAE,,,136.77468729019165,,,,,6,0
34,M3E2,1.0612850944656844,0.6942424242424242,94.22570323944092,1.1448771953582764,0.7278065085411072,-0.2720951437950134,0.5077009797096252,6,0
35,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,6,0
