,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,seed_data,seed_models
197,CEVAE,0.11239464566076084,0.4742449239997981,212.9200737476349,-0.14235857129096985,0.013238555751740932,-0.012452738359570503,-0.04006682708859444,,7,19
198,M3E2,0.08396983943681084,0.20300088261253307,96.36059474945068,-0.2899145185947418,0.02154785580933094,-0.008503789082169533,-0.14136721193790436,0.0448218435049057,7,19
199,TrueTreat,0.0,0.0,0.0,-0.422631425950089,0.1164843426352082,-0.0082050409196461,-0.10187907074912696,0.19723075715643465,7,19
200,DA,0.24428798801169166,0.32619926199261995,51.15330743789673,-0.016391323400724637,-0.09428952552128765,0.07883591207225027,0.11588737603330682,0.1762306392523673,8,0
201,Dragonnet,0.2562394034731147,0.4888243755882907,107.02780866622925,0.05712287873029709,-0.030447417870163918,0.11535745859146118,0.14135657250881195,0.19183912873268127,8,0
202,CEVAE,0.27696283875582195,0.49816058010209224,224.30703139305115,0.055622395128011703,-0.07539409399032593,0.027869565412402153,0.1324453055858612,0.13817395269870758,8,0
203,M3E2,0.2395671804322091,0.39831104855735394,94.86094069480896,-0.030837491154670715,-0.17414028942584991,0.004783636424690485,0.12909798324108124,0.1824520379304886,8,0
204,TrueTreat,0.0,0.0,0.0,-0.022801179154954943,-0.2728206833180276,0.4867425772556366,0.3465873830592348,0.5741228935505409,8,0
205,DA,0.26341760523691765,0.3207261724659607,51.73805379867554,0.04326133823801639,-0.09417892919808438,0.05909798755050968,0.09250417912226422,0.18346693252096474,8,1
206,Dragonnet,0.3051179674136398,0.47584833729321063,99.08643937110901,0.0967850536108017,-0.06680615991353989,-0.02002858929336071,0.13700009882450104,0.09049226343631744,8,1
207,CEVAE,0.27686670093414756,0.4818860752749055,222.19271111488342,0.03894743695855141,-0.06163313239812851,0.02553991787135601,0.09689266234636307,0.17362293601036072,8,1
208,M3E2,0.19594577482519124,0.42986741102581993,95.52757024765015,-0.01982109807431698,-0.2314063459634781,-0.01660236157476902,0.12128700315952301,0.3674337565898895,8,1
209,TrueTreat,0.0,0.0,0.0,-0.022801179154954943,-0.2728206833180276,0.4867425772556366,0.3465873830592348,0.5741228935505409,8,1
210,DA,0.2586062939186386,0.3059185242121445,53.36835694313049,0.02499848920231294,-0.09120894368252751,0.06867132908212144,0.09096616139721075,0.18419530178565519,8,2
211,Dragonnet,0.28704332901713825,0.5003236126280568,107.20121836662292,0.033363956958055496,-0.029469706118106842,0.025328757241368294,0.09539187699556351,0.15103168785572052,8,2
212,CEVAE,0.2806624167281148,0.4887498945532534,222.25103569030762,0.016157379373908043,-0.058002348989248276,0.020294686779379845,0.08039002120494843,0.15723295509815216,8,2
213,M3E2,0.19596363435296088,0.3954802259887006,95.46150135993958,-0.025225726887583733,-0.1780034601688385,0.03467763215303421,0.14072072505950928,0.3494780957698822,8,2
214,TrueTreat,0.0,0.0,0.0,-0.022801179154954943,-0.2728206833180276,0.4867425772556366,0.3465873830592348,0.5741228935505409,8,2
215,DA,0.254861778626357,0.29594272076372313,52.83933472633362,-0.0016536071599447305,-0.08161594600175308,0.07318422999943741,0.07629318312625064,0.19601885691922413,8,3
216,Dragonnet,0.29813764546149796,0.4978241774291555,115.08955931663513,0.0016840993193909526,-0.043703343719244,-0.025193050503730774,0.0351189561188221,0.1604413390159607,8,3
