,Method,MAE,F1_Test,Time(s),T0,seed_data,seed_models
30,DA,0.0006581475165639006,1.4194547935487019,2.9031615257263184,4.0154087486017715,1,6
31,Dragonnet,0.027070867218188965,1.1910558146188548,8.673097372055054,3.9889960289001465,1,6
32,CEVAE,0.0877777465208247,1.2355620861053467,15.734212636947632,4.10384464263916,1,6
33,M3E2,0.3812752834932134,2.406198024749756,16.531301975250244,3.634791612625122,1,6
34,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,6
35,DA,0.2538255698059637,1.3717489844970234,2.8863821029663086,3.7622413263123717,1,7
36,Dragonnet,0.0740753539426997,1.3484315142186352,10.406491756439209,4.090142250061035,1,7
37,CEVAE,2.6269212834016606,1.4956300258636475,15.301618099212646,1.3891456127166748,1,7
38,M3E2,0.25714098135393115,1.5472458600997925,16.564813137054443,3.7589259147644043,1,7
39,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,7
40,DA,0.2565628073715658,1.218357657374415,3.10258150100708,3.794275952671563,2,0
41,Dragonnet,0.007365516329749688,1.1570174569194014,7.038717031478882,4.043473243713379,2,0
42,CEVAE,0.39591055264566766,1.2227147817611694,15.122409582138062,3.654928207397461,2,0
43,M3E2,0.5936317955503307,1.8282405138015747,16.467844486236572,3.457206964492798,2,0
44,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,0
45,DA,0.15189114633293688,1.184216259817708,2.7641475200653076,3.8989476137101917,2,1
46,Dragonnet,0.18645209917928351,1.1427484957111786,6.003133773803711,4.237290859222412,2,1
47,CEVAE,0.15173893323038445,1.1925339698791504,15.789944887161255,3.899099826812744,2,1
48,M3E2,0.20022588124369012,1.4335901737213135,16.958731174468994,3.8506128787994385,2,1
49,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,1
50,DA,0.1788641085159388,1.2258931730813942,2.8691649436950684,3.87197465152719,2,2
51,Dragonnet,0.054598041867271796,1.2347992997874695,6.16782283782959,4.1054368019104,2,2
52,CEVAE,0.14705877652262078,1.3382524251937866,15.177875280380249,3.903779983520508,2,2
53,M3E2,0.2901869331846081,1.6518893241882324,16.43304443359375,3.7606518268585205,2,2
54,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,2
55,DA,0.28695114523115706,1.2501804862082144,2.7646310329437256,3.7638876148119715,2,3
56,Dragonnet,0.1366898501863636,1.2429280308205113,6.611661911010742,4.187528610229492,2,3
57,CEVAE,0.08263593068216668,1.2511844635009766,15.320509433746338,3.968202829360962,2,3
58,M3E2,0.36108904233072625,1.771818995475769,16.446333408355713,3.6897497177124023,2,3
59,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,3
60,DA,0.06509779909014979,1.2822283339924871,2.7736573219299316,3.985740960952979,2,4
61,Dragonnet,0.030932613705650702,1.2098358853094504,6.16592001914978,4.081771373748779,2,4
62,CEVAE,1.8626225506315075,1.2118695974349976,15.44208288192749,2.188216209411621,2,4
63,M3E2,0.3703756844053112,1.5685529708862305,16.35302186012268,3.6804630756378174,2,4
64,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,4
65,DA,0.2590019170625495,1.14606127102045,2.786417007446289,3.791836842980579,2,5
66,Dragonnet,0.05623263964559211,1.0854187794596872,8.030327320098877,4.107071399688721,2,5
67,CEVAE,0.13533978810404168,1.0638606548309326,15.03100872039795,3.915498971939087,2,5
68,M3E2,0.16615324368570672,1.4553518295288086,16.38944435119629,3.884685516357422,2,5
69,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,5
70,DA,0.22096771237271318,1.197452145667287,2.7260050773620605,3.8298710476704154,2,6
