,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
25,DA,0.38966005798612363,0.8037694013303769,91.20711874961853,0.04557253666996821,-0.021291258149690725,0.008560124344279836,0.018299164338223504,0,5
26,Dragonnet,0.42110961853756695,0.8159484545185017,103.66274166107178,0.026672428473830223,-0.10407471656799316,0.00088026950834319,-0.013495366089046001,0,5
27,CEVAE,0.3187001087848063,0.8087686757749405,308.969820022583,0.14177332818508148,0.058365628123283386,-0.07280490547418594,0.04491625353693962,0,5
28,M3E2,0.1985266991062175,0.6881818181818182,101.29273891448975,1.0714868307113647,0.5379453301429749,-0.08703216165304184,0.45335817337036133,0,5
29,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,5
30,DA,0.38457459142676004,0.8082267926625903,86.37805104255676,0.06101539326474068,-0.01415099431426917,0.0021082599243434272,0.009606045725547279,0,6
31,Dragonnet,0.4142601048719104,0.813438102913972,100.97776532173157,0.05504054203629494,-0.05890214815735817,0.0248782467097044,-0.035640016198158264,0,6
32,CEVAE,0.32458029442056674,0.8003987663986174,310.55698585510254,0.16770918667316437,0.04153752326965332,-0.06992053240537643,0.015172130428254604,0,6
33,M3E2,0.22609551683444223,0.6887878787878788,97.52382278442383,0.9590626358985901,0.6667888164520264,-0.037352193146944046,0.3606135845184326,0,6
34,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,6
35,DA,0.38601954992578713,0.8133507365280627,88.2243447303772,0.07593455731004833,-0.018827036266819246,0.012350241777342046,0.0038250714896801426,0,7
36,Dragonnet,0.44358718405998904,0.8127176222845565,98.79983568191528,0.021982211619615555,-0.09295832365751266,0.048630669713020325,-0.06208140403032303,0,7
37,CEVAE,0.35283398151579987,0.8026840092819593,246.56223845481873,0.16801071166992188,,-0.0535433404147625,0.05572381988167763,0,7
38,M3E2,0.15081482161212406,0.7236363636363636,96.47397255897522,0.9273790717124939,0.5725922584533691,-0.16867749392986298,0.2533290982246399,0,7
39,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,7
40,DA,0.3982997068553511,0.8136541689983212,89.18138813972473,0.031239406241717903,-0.016759407533295384,0.0003289449214864209,-0.014689330749624776,1,0
41,Dragonnet,0.45469703908599574,0.8134837349156929,99.23270416259766,-0.05898161232471466,-0.08322718739509583,0.04304780066013336,-0.04087100550532341,1,0
42,CEVAE,0.34621217333767224,0.804047593353466,312.3118510246277,0.15143422782421112,0.035839080810546875,-0.02580747753381729,-0.005268929060548544,1,0
