,Method,MAE,F1_Test,Time(s),T0,seed_data,seed_models
169,TrueTreat,8.324879415412434,0.0,0.0,-4.162439707706217,5,1
170,DA,0.1151460002138931,3.0750188216670464,2.8142924308776855,4.27758570792011,5,2
171,Dragonnet,0.07046878714347304,1.7040709940340615,12.761837005615234,4.091970920562744,5,2
172,CEVAE,0.9270790853002113,1.147417426109314,14.844110012054443,3.235360622406006,5,2
173,M3E2,0.12816440682625352,7.577465534210205,14.435053586959839,4.290604114532471,5,2
174,TrueTreat,8.324879415412434,0.0,0.0,-4.162439707706217,5,2
175,DA,0.25011363086904304,2.6237683651609722,3.1268155574798584,4.41255333857526,5,3
176,Dragonnet,0.11912214379524766,1.5816301310965455,11.258737325668335,4.281561851501465,5,3
177,CEVAE,1.5076857767603355,1.2706185579299927,15.148234367370605,5.670125484466553,5,3
178,M3E2,0.1414819918177086,7.19757604598999,14.594627857208252,4.303921699523926,5,3
179,TrueTreat,8.324879415412434,0.0,0.0,-4.162439707706217,5,3
180,DA,0.08742102772022076,2.4898982464492785,2.8264071941375732,4.249860735426438,5,4
181,Dragonnet,0.1502794064977211,1.734823971023583,7.988138914108276,4.012160301208496,5,4
182,CEVAE,1.6571775712468666,1.1296361684799194,15.04154348373413,2.5052621364593506,5,4
183,M3E2,0.6316593923070473,8.068521499633789,14.669443607330322,3.53078031539917,5,4
184,TrueTreat,8.324879415412434,0.0,0.0,-4.162439707706217,5,4
185,DA,0.13866231815027508,2.7969013480896705,2.8382222652435303,4.301102025856492,5,5
186,Dragonnet,0.08955919366097032,1.7921170981702557,6.8616111278533936,4.2519989013671875,5,5
187,CEVAE,1.697710637042765,1.30376398563385,14.870395183563232,2.464729070663452,5,5
188,M3E2,0.27024376015877305,7.0621657371521,14.588374614715576,4.43268346786499,5,5
189,TrueTreat,8.324879415412434,0.0,0.0,-4.162439707706217,5,5
190,DA,0.0827818028575571,2.6158127655270027,3.0985913276672363,4.245221510563774,5,6
