,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,T5,T6,T7,T8,seed_data,seed_models
41,Dragonnet,0.21184153578873943,0.468887920162224,334.98302936553955,-0.12269297242164612,0.005634661763906479,0.01244273316115141,-0.04989466443657875,-0.06102189049124718,0.20178933441638947,-0.08149451017379761,0.041275061666965485,-0.0742812380194664,1,0
42,CEVAE,0.2178546445174932,0.480934658993036,682.2579896450043,-0.07505744695663452,-0.01715758442878723,0.04332781210541725,,-0.05212349817156792,0.13538002967834473,-0.10073275119066238,0.023441102355718613,-0.033327192068099976,1,0
43,M3E2,0.19550644128966574,0.573030303030303,285.6500597000122,-0.04745674133300781,-0.11014703661203384,0.04283672571182251,0.1120709478855133,-0.1556922048330307,0.2683558166027069,-0.25673049688339233,-0.09122087806463242,-0.14354097843170166,1,0
44,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,0.5753846742200707,-0.43620294105412,0.1903017252237757,-0.07975977401427464,1,0
45,DA,0.21368987712937582,0.06775407779171894,216.4094033241272,-0.1297381488291266,0.015781712862509102,0.02224480713707496,0.03874898990916745,-0.03140843067580511,0.13329027405769275,-0.0965066864703964,0.027570962918715348,-0.03881265275177636,1,1
46,Dragonnet,0.21650704413764812,0.46732756239212075,335.6098265647888,-0.11301307380199432,-0.022276097908616066,-0.0028130831196904182,0.031107207760214806,-0.016737598925828934,0.20700427889823914,-0.09249606728553772,0.011174396611750126,-0.062304720282554626,1,1
47,CEVAE,0.14261060640625467,0.4862403580986501,566.9021050930023,,0.0256175734102726,0.017451882362365723,0.0321015901863575,-0.026211965829133987,,,,-0.03489983454346657,1,1
48,M3E2,0.1990696743200048,0.5645454545454546,284.1746234893799,-0.28061380982398987,-0.05378211289644241,-0.009963753633201122,0.05225347355008125,-0.12934191524982452,0.10933902859687805,-0.1836361438035965,-0.04127490893006325,-0.1439986526966095,1,1
49,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,0.5753846742200707,-0.43620294105412,0.1903017252237757,-0.07975977401427464,1,1
50,DA,0.19487761242440746,0.16219303255282697,214.85843062400818,-0.13954441826903807,0.03939353172656293,0.05279044623730596,0.034111042102287506,-0.05800688975339779,0.14823106749776516,-0.12587030038334382,0.037052464809229434,-0.06841288717804858,1,2
51,Dragonnet,0.1983586114449283,0.44957312756525014,338.43636751174927,-0.12930919229984283,0.058261752128601074,0.05635150149464607,0.009384832344949245,-0.0669739842414856,0.14283177256584167,-0.11345523595809937,0.07536584883928299,-0.02014993689954281,1,2
52,CEVAE,0.18086399127064448,0.47730454508877623,692.3224837779999,-0.08928048610687256,0.029704192653298378,0.05507868900895119,0.019847065210342407,-0.03292128071188927,,-0.13626284897327423,,-0.06248265877366066,1,2
53,M3E2,0.21618000023346717,0.5606060606060606,283.96165800094604,-0.3028659224510193,-0.0774213895201683,0.13046644628047943,0.014736823737621307,-0.0664876326918602,0.14125551283359528,-0.024997994303703308,-0.06825360655784607,-0.1829633265733719,1,2
54,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,0.5753846742200707,-0.43620294105412,0.1903017252237757,-0.07975977401427464,1,2
55,DA,0.20332724359613621,0.12345679012345678,210.5217342376709,-0.13022141303919665,0.034982572067877304,0.05829378261259021,0.030544801438583766,-0.05080820840680965,0.14149117190303173,-0.08969731483021214,0.04433387853833579,-0.04699322457478344,1,3
56,Dragonnet,0.2035585532514235,0.478783230043446,339.05017614364624,-0.15120545029640198,0.04054665192961693,0.06289076060056686,0.032049160450696945,-0.02413729578256607,0.1831091046333313,-0.0963137224316597,0.043957944959402084,0.008925510570406914,1,3
57,CEVAE,0.1925201009457519,0.4830227939991156,748.5566446781158,-0.1352791041135788,0.0223540049046278,0.0505187064409256,0.0240731630474329,-0.02544238045811653,0.1259882152080536,,0.04360172152519226,-0.05369051545858383,1,3
58,M3E2,0.2109258294844282,0.5587878787878788,286.51952600479126,-0.35163506865501404,-0.00518518453463912,0.0400189533829689,0.01722084917128086,-0.00023615868121851236,0.14409175515174866,-0.04562939330935478,-0.0388006865978241,-0.1553867608308792,1,3
59,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,0.5753846742200707,-0.43620294105412,0.1903017252237757,-0.07975977401427464,1,3
60,DA,0.21143631267975715,0.1050656660412758,209.01866483688354,-0.11290469480305551,-0.0033935603104540187,0.08461618240905189,0.03291092328240789,-0.05431270625018837,0.13980976992932928,-0.07925538393426004,0.007190835828788267,-0.04677780953220464,1,4
61,Dragonnet,0.21664012570977845,0.4579856174256726,332.42556953430176,-0.09185533225536346,0.008219164796173573,0.049391403794288635,0.0031770409550517797,-0.06113233044743538,0.1735013723373413,-0.054561223834753036,0.006374947726726532,-0.05933761224150658,1,4
62,CEVAE,0.2261193173555514,0.468208517590003,760.2026932239532,-0.09624552726745605,-0.020784499123692513,0.06825309991836548,0.033460766077041626,-0.038407087326049805,0.12432168424129486,-0.08221951872110367,-0.03458128869533539,-0.034695807844400406,1,4
63,M3E2,0.16927969813105875,0.5715151515151515,284.71251606941223,-0.2654491364955902,-0.039251603186130524,0.14829005300998688,0.07082613557577133,-0.13709348440170288,0.1768161952495575,-0.209709033370018,-0.008314753882586956,-0.15384872257709503,1,4
64,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,0.5753846742200707,-0.43620294105412,0.1903017252237757,-0.07975977401427464,1,4
65,DA,0.19033242290740385,0.21397379912663755,217.22134232521057,-0.13271543287718157,0.06036029443661648,0.05282588674657287,0.06276343962842743,-0.059110969023018545,0.14208027484781283,-0.11908834560878055,0.04767909782612053,-0.0676960126154807,1,5
66,Dragonnet,0.18144183640377196,0.46430591689263523,335.3817319869995,-0.132521852850914,0.07495290786027908,0.08528698980808258,0.05481141433119774,-0.06072703003883362,0.23017863929271698,-0.15574990212917328,-0.013357414864003658,-0.04346371069550514,1,5
67,CEVAE,0.2188550276597045,0.46561346081907484,752.8614315986633,-0.08231449127197266,0.0272748451679945,0.05042940005660057,0.05245868116617203,,0.1062854751944542,-0.1169474646449089,0.02252211980521679,-0.031886953860521317,1,5
68,M3E2,0.1693026538179806,0.5563636363636364,288.72639298439026,-0.16857600212097168,0.05898429453372955,0.06949113309383392,0.053936395794153214,-0.182680144906044,0.12195917218923569,-0.23501285910606384,-0.014761858619749546,-0.1018100157380104,1,5
69,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,0.5753846742200707,-0.43620294105412,0.1903017252237757,-0.07975977401427464,1,5
70,DA,0.2026666950018769,0.16243654822335027,200.94623517990112,-0.14609846489293482,0.021078155707078706,0.05768766779050928,0.03259457085355268,-0.05348355380496171,0.10799152991463061,-0.10366579073975778,0.06018913588417743,-0.05052243517215135,1,6
