,Method,MAE,F1_Test,Time(s),T0,T1,T2,seed_data,seed_models
49,Dragonnet,0.1977188572972611,0.4690718517390302,122.94303822517395,-0.08612468838691711,0.04192536324262619,-0.03013824112713337,1,0
50,CEVAE,0.09538793611537776,0.4899690656173553,235.57887244224548,,0.0646597295999527,0.02954643964767456,1,0
51,HiCI,0.4707666143218274,0.5017103762827821,5.830841064453125,0.24356603622436523,0.13844919204711914,-0.616114616394043,1,0
52,M3E2,0.26732264120453064,0.28026692087702576,127.18936014175415,-0.05142812803387642,0.01294790767133236,0.43936145305633545,1,0
53,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,1,0
54,DA,0.15974246375445594,0.141705069124424,206.70645666122437,-0.14173084912756098,0.0328047223123611,0.037305419690903285,1,1
55,Dragonnet,0.12923816014722936,0.4651346833828586,118.08914613723755,-0.1514595001935959,0.05107852444052696,0.10081587731838226,1,1
56,CEVAE,0.17335624416069143,0.4782263693378224,242.2792501449585,-0.10816116631031036,0.04022136330604553,0.022617120295763016,1,1
57,HiCI,0.23035612746473108,,5.869799375534058,0.0,0.0,0.0,1,1
58,M3E2,0.15116653231924723,0.27167919799498746,133.0568437576294,-0.2056693285703659,0.02098761312663555,0.010911843739449978,1,1
59,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,1,1
60,DA,0.1560236769945133,0.10323383084577115,215.4464132785797,-0.12871485114573658,0.06993821950845208,0.024344280756464675,1,2
61,Dragonnet,0.1850766308048959,0.47887643169705507,124.76267552375793,-0.09586910158395767,0.025847094133496284,0.014122294262051582,1,2
62,CEVAE,0.17434016907608463,0.4751167726029611,258.28804564476013,-0.08151805400848389,0.04881355166435242,0.03771626949310303,1,2
63,HiCI,0.9916312451482145,0.4806007509386733,6.165641784667969,0.5534572601318359,0.4390583038330078,-1.5971879959106445,1,2
64,M3E2,0.17226408838625704,0.1956882255389718,133.15445613861084,-0.058480046689510345,0.06906769424676895,0.04672837629914284,1,2
65,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,1,2
66,DA,0.14169043808288218,0.12667054038349798,207.07304859161377,-0.14438613902439684,0.05237702424626409,0.0692339048748857,1,3
67,Dragonnet,0.14571115736870419,0.4815183621232151,112.8566222190857,-0.12046249210834503,0.001598169794306159,0.13187424838542938,1,3
68,CEVAE,0.16647602537667702,0.48016072590757486,250.11511158943176,-0.0765855461359024,0.06795626878738403,0.047098491340875626,1,3
69,HiCI,0.23035612746473108,,5.523303270339966,0.0,0.0,0.0,1,3
70,M3E2,0.07209874236977053,0.2554027504911592,124.18793058395386,-0.3018129765987396,0.11374755203723907,0.05921162664890289,1,3
71,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,1,3
72,DA,0.15613646025257785,0.0603448275862069,209.98205828666687,-0.1360583108436269,0.041712008222826794,0.04488868257000591,1,4
73,Dragonnet,0.15566377499772574,0.48880938845840743,114.32251048088074,-0.06926777213811874,0.024007605388760567,0.13328419625759125,1,4
74,CEVAE,0.22421715853809746,0.4964403996744225,242.59488487243652,-0.044888000935316086,,0.044806960970163345,1,4
75,HiCI,2.482857123545838,0.5054945054945055,6.12226676940918,1.8044967651367188,0.8974876403808594,-4.361396789550781,1,4
76,M3E2,0.14687641557627387,0.12667054038349798,124.91876292228699,-0.11544995754957199,0.051708269864320755,0.18080496788024902,1,4
77,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,1,4
78,DA,0.1527831328407749,0.05632040050062578,207.87381744384766,-0.14184265790057846,0.03902830115347409,0.05184802481781595,1,5
79,Dragonnet,0.19776448364390387,0.4655741412074059,114.59763479232788,-0.11815516650676727,-0.0025738205295056105,-0.017806414514780045,1,5
80,CEVAE,0.16657965922748993,0.48718550820245426,245.78729486465454,-0.09271210432052612,0.04232977330684662,0.056287527084350586,1,5
81,HiCI,0.7189550951441456,0.4936268829663963,6.212989807128906,0.4474153518676758,0.23040103912353516,-1.0938587188720703,1,5
82,M3E2,0.11133373572822365,0.0809667673716012,134.59550666809082,-0.30945733189582825,0.012013107538223267,0.035596735775470734,1,5
83,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,1,5
84,DA,0.17217284966698213,0.1110454813939752,211.23814344406128,-0.11537046201673656,0.04874932309661459,0.010430048279895656,1,6
85,Dragonnet,0.18085010455942108,0.4878939045625737,114.16581869125366,-0.09218669682741165,0.03903171420097351,0.017299657687544823,1,6
86,CEVAE,0.175286659791032,0.47791406540484443,249.98640179634094,-0.06297805160284042,0.05636942386627197,0.04586092755198479,1,6
87,HiCI,2.92299180779063,0.4746987951807229,6.139915227890015,2.100597381591797,1.1072006225585938,-5.175987243652344,1,6
88,M3E2,0.1309542027055815,0.26008968609865474,146.59504985809326,-0.14046861231327057,0.11759359389543533,0.04014356806874275,1,6
89,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,1,6
90,DA,0.16273262175032302,0.13532110091743116,217.24090933799744,-0.11722610785231773,0.022031204513219223,0.06361320477768716,1,7
91,Dragonnet,0.15417254139379613,0.48011038688056845,120.42655444145203,-0.07962741702795029,0.04725033417344093,0.10167300701141357,1,7
92,CEVAE,0.16661820977326186,0.4763943126203636,245.3674008846283,-0.06633919477462769,0.06696862727403641,0.057905931025743484,1,7
93,HiCI,0.6931470786849984,0.4783118405627198,5.6235435009002686,0.4220895767211914,0.22620391845703125,-1.0459575653076172,1,7
94,M3E2,0.17049346556587483,0.1257934218118869,133.55989789962769,0.013162142597138882,0.0758420079946518,0.14717775583267212,1,7
95,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,1,7
96,DA,0.16299022142062639,0.23251132360342225,211.38326978683472,0.010316220360181393,-0.014872771259505733,0.1678910792125087,2,0
