,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,seed_data,seed_models
32,CEVAE,0.2698399454602375,0.4641525527623432,413.7466061115265,-0.08932808041572571,-0.04742330685257912,-0.09879495203495026,-0.14396783709526062,-0.08413577824831009,0,6
33,M3E2,0.14587111733794017,0.6103030303030303,183.0902669429779,-0.34631964564323425,-0.026616346091032028,-0.3547544777393341,-0.3248779773712158,-0.25106561183929443,0,6
34,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0,6
35,DA,0.25392421296110435,0.06828528072837634,75.22323799133301,-0.1562465464085873,-0.030254666986642517,-0.08902111660924883,-0.16889454437397444,-0.09881174276403827,0,7
36,Dragonnet,0.28433756160227197,0.41643865354121956,225.95192909240723,-0.11893490701913834,-0.04722483828663826,-0.04140033945441246,-0.11761254817247391,-0.06598924100399017,0,7
37,CEVAE,0.2565509237596168,0.44091959355133054,425.0849120616913,-0.09329058974981308,-0.03691190481185913,-0.13262581825256348,-0.15749403834342957,-0.1097727119922638,0,7
38,M3E2,0.20911707824704787,0.6339393939393939,188.9978334903717,-0.3494648039340973,0.008283332921564579,-0.18559138476848602,-0.3256087303161621,0.08511729538440704,0,7
39,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0,7
40,DA,0.17582998005009143,0.0572155117609663,75.30872583389282,-0.1091306509435397,0.06006147510715883,0.015110898486822984,0.035338579617377436,-0.07687094085904939,1,0
41,Dragonnet,0.18698858141647706,0.4724244895416524,218.57085585594177,-0.08660419285297394,0.046588581055402756,0.018046066164970398,0.03791864216327667,-0.05156205594539642,1,0
42,CEVAE,0.2293038379455898,0.49255630353146035,301.7391424179077,-0.09917134791612625,0.009919345378875732,,0.03026539273560047,,1,0
43,M3E2,0.1794301767622126,0.5515151515151515,186.37947702407837,-0.26339834928512573,-0.03728235140442848,-0.02996552363038063,-0.0889754593372345,-0.17133654654026031,1,0
44,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,1,0
45,DA,0.16772129752459464,0.08281829419035847,76.73177099227905,-0.1394829066038308,0.06094564612881488,-0.013827922606773013,0.08076182278837249,-0.06969350472718708,1,1
46,Dragonnet,0.18873735375450978,0.46176039430902166,219.17571640014648,-0.10558446496725082,0.03110763616859913,-0.026739079505205154,0.06742934137582779,-0.05459331348538399,1,1
47,CEVAE,0.16787906057232127,0.47101975580552224,346.3227205276489,,,-0.027143239974975586,0.054042816162109375,-0.08610024303197861,1,1
48,M3E2,0.1663912799929274,0.5554545454545454,181.04126739501953,-0.11513733863830566,0.10267560929059982,-0.0751054584980011,0.14752347767353058,-0.05347507819533348,1,1
49,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,1,1
50,DA,0.17261399164931732,0.06182965299684543,74.86804032325745,-0.12605591102746774,0.03171129193738025,0.017806929696603767,0.04050411009008809,-0.09651424426627912,1,2
51,Dragonnet,0.15610126152383216,0.47291106301253,227.30614852905273,-0.10319720208644867,0.03864964470267296,0.11131840944290161,0.04724742844700813,-0.09474345296621323,1,2
52,CEVAE,0.18746285340962984,0.4919531254439467,425.80485010147095,-0.11272818595170975,-0.000589201576076448,-0.004438489675521851,0.02120119519531727,-0.10944648832082748,1,2
53,M3E2,0.18388860491318682,0.5496969696969697,184.19436621665955,-0.1676737517118454,-0.08302409946918488,-0.000760268303565681,-0.03829258680343628,-0.2106226235628128,1,2
54,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,1,2
55,DA,0.17047229885863796,0.18817204301075266,71.56361746788025,-0.1399554609802056,0.04604654674596613,-0.020261485798628062,0.04519279543649185,-0.11236763360718013,1,3
56,Dragonnet,0.1719587133054627,0.45519060535665484,218.55190467834473,-0.09931439161300659,0.05402562767267227,0.006349319592118263,0.052989378571510315,-0.10319016128778458,1,3
57,CEVAE,0.17414375139035274,0.47155462092653844,384.17891216278076,-0.1190110519528389,-0.00024759769439697266,-0.035764455795288086,,-0.12784628570079803,1,3
58,M3E2,0.2285551682834519,0.5596969696969697,182.9470510482788,-0.25093093514442444,-0.12470642477273941,-0.10708028078079224,-0.009487548843026161,-0.023229923099279404,1,3
59,TrueTreat,0.0,0.0,0.0,-0.4060863409158104,0.15293910341251885,0.13204293806586392,0.2682421555390426,-0.21635190733116963,1,3
